Id;Facility Name;VAMC System Health Services;Facility description of services;Owner
vha_554-Thoracic surgery;'Rocky Mountain Regional VA Medical Center';'Thoracic surgery at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /></p>';'VA Eastern Colorado health care'
vha_554-Urology;'Rocky Mountain Regional VA Medical Center';'Urology at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /></p>';'VA Eastern Colorado health care'
vha_554-Vascular surgery;'Rocky Mountain Regional VA Medical Center';'Vascular surgery at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /></p>';'VA Eastern Colorado health care'
vha_554-Women Veteran care;'Rocky Mountain Regional VA Medical Center';'Women Veteran care at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+17208575372" aria-label="7 2 0. 8 5 7. 5 3 7 2.">720-857-5372</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+17208575372" aria-label="7 2 0. 8 5 7. 5 3 7 2.">720-857-5372</a><br /></p>';'VA Eastern Colorado health care'
vha_554GF-Laboratory and pathology;'Alamosa VA Clinic';'Laboratory and pathology at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />622 Del Sol Drive<br /><strong><Alamosa, CO 81101-8548>Phone:</strong> <a href="tel:+17197876800" aria-label="7 1 9. 7 8 7. 6 8 0 0.">719-787-6800</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+17197876800" aria-label="7 1 9. 7 8 7. 6 8 0 0.">719-787-6800</a><br /></p>';'VA Eastern Colorado health care'
vha_554GF-Pharmacy;'Alamosa VA Clinic';'Pharmacy at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />622 Del Sol Drive<br /><strong><Alamosa, CO 81101-8548>Phone:</strong> <a href="tel:+17197876800" aria-label="7 1 9. 7 8 7. 6 8 0 0.">719-787-6800</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+17197876800" aria-label="7 1 9. 7 8 7. 6 8 0 0.">719-787-6800</a><br /></p>';'VA Eastern Colorado health care'
vha_554GF-Primary care;'Alamosa VA Clinic';'Primary care at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />622 Del Sol Drive<br /><strong><Alamosa, CO 81101-8548>Phone:</strong> <a href="tel:+17197876800" aria-label="7 1 9. 7 8 7. 6 8 0 0.">719-787-6800</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. MT<br />Tuesday -  8:00 a.m. to 4:30 p.m. MT<br />Wednesday - 8:00 a.m. to 4:30 p.m. MT<br />Thursday -  8:00 a.m. to 4:30 p.m. MT<br />Friday -  8:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+17197876800" aria-label="7 1 9. 7 8 7. 6 8 0 0.">719-787-6800</a><br /></p>';'VA Eastern Colorado health care'
vha_554GB-Laboratory and pathology;'Aurora VA Clinic';'Laboratory and pathology at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />13701 East Mississippi Avenue, Suite 200<br /><strong><Aurora, CO 80012-3697>Phone:</strong> <a href="tel:+13033986340" aria-label="3 0 3. 3 9 8. 6 3 4 0.">303-398-6340</a><br /><strong>Hours:</strong> <br />Monday - 7:30 a.m. to 4:30 p.m. MT<br />Tuesday -  7:30 a.m. to 4:30 p.m. MT<br />Wednesday - 7:30 a.m. to 4:30 p.m. MT<br />Thursday -  7:30 a.m. to 4:30 p.m. MT<br />Friday -  7:30 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+13033986340" aria-label="3 0 3. 3 9 8. 6 3 4 0.">303-398-6340</a><br /></p>';'VA Eastern Colorado health care'
vha_554GB-Pharmacy;'Aurora VA Clinic';'Pharmacy at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />13701 East Mississippi Avenue, Suite 200<br /><strong><Aurora, CO 80012-3697>Phone:</strong> <a href="tel:+13033986340" aria-label="3 0 3. 3 9 8. 6 3 4 0.">303-398-6340</a><br /><strong>Hours:</strong> <br />Monday - 7:30 a.m. to 4:30 p.m. MT<br />Tuesday -  7:30 a.m. to 4:30 p.m. MT<br />Wednesday - 7:30 a.m. to 4:30 p.m. MT<br />Thursday -  7:30 a.m. to 4:30 p.m. MT<br />Friday -  7:30 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+13033986340" aria-label="3 0 3. 3 9 8. 6 3 4 0.">303-398-6340</a><br /></p>';'VA Eastern Colorado health care'
vha_554GB-Primary care;'Aurora VA Clinic';'Primary care at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />13701 East Mississippi Avenue, Suite 200<br /><strong><Aurora, CO 80012-3697>Phone:</strong> <a href="tel:+13033986340" aria-label="3 0 3. 3 9 8. 6 3 4 0.">303-398-6340</a><br /><strong>Hours:</strong> <br />Monday - 7:30 a.m. to 4:30 p.m. MT<br />Tuesday -  7:30 a.m. to 4:30 p.m. MT<br />Wednesday - 7:30 a.m. to 4:30 p.m. MT<br />Thursday -  7:30 a.m. to 4:30 p.m. MT<br />Friday -  7:30 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+13033986340" aria-label="3 0 3. 3 9 8. 6 3 4 0.">303-398-6340</a><br /></p>';'VA Eastern Colorado health care'
vha_554GI-Laboratory and pathology;'Burlington VA Clinic';'Laboratory and pathology at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1177 Rose Avenue, <br /><strong><Burlington, CO 80807-1756>Phone:</strong> <a href="tel:+17193465239" aria-label="7 1 9. 3 4 6. 5 2 3 9.">719-346-5239</a><br /><strong>Hours:</strong> <br />Monday - 7:00 a.m. to 5:30 p.m. MT<br />Tuesday -  7:00 a.m. to 5:30 p.m. MT<br />Wednesday - 7:00 a.m. to 5:30 p.m. MT<br />Thursday -  7:00 a.m. to 5:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+17193465239" aria-label="7 1 9. 3 4 6. 5 2 3 9.">719-346-5239</a><br /></p>';'VA Eastern Colorado health care'
vha_554GI-Pharmacy;'Burlington VA Clinic';'Pharmacy at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1177 Rose Avenue<br /><strong><Burlington, CO 80807-1756>Phone:</strong> <a href="tel:+17193465239" aria-label="7 1 9. 3 4 6. 5 2 3 9.">719-346-5239</a><br /><strong>Hours:</strong> <br />Monday - 7:00 a.m. to 5:30 p.m. MT<br />Tuesday -  7:00 a.m. to 5:30 p.m. MT<br />Wednesday - 7:00 a.m. to 5:30 p.m. MT<br />Thursday -  7:00 a.m. to 5:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+17193465239" aria-label="7 1 9. 3 4 6. 5 2 3 9.">719-346-5239</a><br /></p>';'VA Eastern Colorado health care'
vha_554GI-Primary care;'Burlington VA Clinic';'Primary care at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br />1177 Rose Avenue<br /><strong><Burlington, CO 80807-1756>Phone:</strong> <a href="tel:+17193465239" aria-label="7 1 9. 3 4 6. 5 2 3 9.">719-346-5239</a><br /><strong>Hours:</strong> <br />Monday - 7:00 a.m. to 5:30 p.m. MT<br />Tuesday -  7:00 a.m. to 5:30 p.m. MT<br />Wednesday - 7:00 a.m. to 5:30 p.m. MT<br />Thursday -  7:00 a.m. to 5:30 p.m. MT<br />Friday -  Closed<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+17193465239" aria-label="7 1 9. 3 4 6. 5 2 3 9.">719-346-5239</a><br /></p>';'VA Eastern Colorado health care'
vha_554GJ-Laboratory and pathology;'Denver VA Clinic';'Laboratory and pathology at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Physician Office Building 1</strong><br />4545 East 9th Avenue, Suite 010<br /><strong><Denver, CO 80220-3901>Phone:</strong> <a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /></p>';'VA Eastern Colorado health care'
vha_554GJ-Pharmacy;'Denver VA Clinic';'Pharmacy at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Physician Office Building 1</strong><br />4545 East 9th Avenue, Suite 010<br /><strong><Denver, CO 80220-3901>Phone:</strong> <a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /></p>';'VA Eastern Colorado health care'
vha_554GJ-Primary care;'Denver VA Clinic';'Primary care at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Physician Office Building 1</strong><br />4545 East 9th Avenue, Suite 010<br /><strong><Denver, CO 80220-3901>Phone:</strong> <a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 4:30 p.m. CT<br />Tuesday -  8:00 a.m. to 4:30 p.m. CT<br />Wednesday - 8:00 a.m. to 4:30 p.m. CT<br />Thursday -  8:00 a.m. to 4:30 p.m. CT<br />Friday -  8:00 a.m. to 4:30 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+13033998020" aria-label="3 0 3. 3 9 9. 8 0 2 0.">303-399-8020</a><br /></p>';'VA Eastern Colorado health care'
vha_554A5-Homeless Veteran care;'Denver VA Domiciliary';'Homeless Veteran care at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><strong>Community Resource & Referral Center (CRRC)</strong><br />3836 York Street<br /><strong><Denver, CO 80205-3540>Phone:</strong> <a href="tel:+17205013367" aria-label="7 2 0. 5 0 1. 3 3 6 7.">720-501-3367</a><br /><strong>Hours:</strong> <br />Monday - 6:30 a.m. to 3:00 p.m. CT<br />Tuesday -  6:30 a.m. to 3:00 p.m. CT<br />Wednesday - 6:30 a.m. to 2:00 p.m. CT<br />Thursday -  6:30 a.m. to 3:00 p.m. CT<br />Friday -  6:30 a.m. to 3:00 p.m. CT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+17205013367" aria-label="7 2 0. 5 0 1. 3 3 6 7.">720-501-3367</a><br /></p>';'VA Eastern Colorado health care'
vha_554GC-Audiology and speech;'Golden VA Clinic';'Audiology and speech at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /><strong>Hours:</strong> <br />Monday - 7:00 a.m. to 5:30 p.m. MT<br />Tuesday -  7:00 a.m. to 5:30 p.m. MT<br />Wednesday - 7:00 a.m. to 5:30 p.m. MT<br />Thursday -  7:00 a.m. to 5:30 p.m. MT<br />Friday -  7:00 a.m. to 5:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /></p>';'VA Eastern Colorado health care'
vha_554GC-Laboratory and pathology;'Golden VA Clinic';'Laboratory and pathology at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 3:30 p.m. MT<br />Tuesday -  8:00 a.m. to 3:30 p.m. MT<br />Wednesday - 8:00 a.m. to 3:30 p.m. MT<br />Thursday -  8:00 a.m. to 3:30 p.m. MT<br />Friday -  8:00 a.m. to 3:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /></p>';'VA Eastern Colorado health care'
vha_554GC-Mental health care;'Golden VA Clinic';'Mental health care at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /><strong>Hours:</strong> <br />Monday - 7:30 a.m. to 4:30 p.m. MT<br />Tuesday -  7:30 a.m. to 4:30 p.m. MT<br />Wednesday - 7:30 a.m. to 4:30 p.m. MT<br />Thursday -  7:30 a.m. to 4:30 p.m. MT<br />Friday -  7:30 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /></p>';'VA Eastern Colorado health care'
vha_554GC-Nutrition, food, and dietary;'Golden VA Clinic';'Nutrition, food, and dietary at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /><strong>Hours:</strong> <br />Monday - 7:00 a.m. to 5:30 p.m. MT<br />Tuesday -  7:00 a.m. to 5:30 p.m. MT<br />Wednesday - 7:00 a.m. to 5:30 p.m. MT<br />Thursday -  7:00 a.m. to 5:30 p.m. MT<br />Friday -  7:00 a.m. to 5:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /></p>';'VA Eastern Colorado health care'
vha_554GC-Pharmacy;'Golden VA Clinic';'Pharmacy at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /><strong>Hours:</strong> <br />Monday - 7:00 a.m. to 5:30 p.m. MT<br />Tuesday -  7:00 a.m. to 5:30 p.m. MT<br />Wednesday - 7:00 a.m. to 5:30 p.m. MT<br />Thursday -  7:00 a.m. to 5:30 p.m. MT<br />Friday -  7:00 a.m. to 5:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /></p>';'VA Eastern Colorado health care'
vha_554GC-Physical therapy, occupational therapy and kinesiotherapy;'Golden VA Clinic';'Physical therapy, occupational therapy and kinesiotherapy at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 3:30 p.m. MT<br />Tuesday -  8:00 a.m. to 3:30 p.m. MT<br />Wednesday - 8:00 a.m. to 3:30 p.m. MT<br />Thursday -  8:00 a.m. to 3:30 p.m. MT<br />Friday -  8:00 a.m. to 3:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /></p>';'VA Eastern Colorado health care'
vha_554GC-Primary care;'Golden VA Clinic';'Primary care at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /><strong>Hours:</strong> <br />Monday - 7:30 a.m. to 4:30 p.m. MT<br />Tuesday -  7:30 a.m. to 4:30 p.m. MT<br />Wednesday - 7:30 a.m. to 4:30 p.m. MT<br />Thursday -  7:30 a.m. to 4:30 p.m. MT<br />Friday -  7:30 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /></p>';'VA Eastern Colorado health care'
vha_554GC-Radiology;'Golden VA Clinic';'Radiology at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /><strong>Hours:</strong> <br />Monday - 8:00 a.m. to 3:30 p.m. MT<br />Tuesday -  8:00 a.m. to 3:30 p.m. MT<br />Wednesday - 8:00 a.m. to 3:30 p.m. MT<br />Thursday -  8:00 a.m. to 3:30 p.m. MT<br />Friday -  8:00 a.m. to 3:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> Y<br /><strong>Walk-ins accepted?</strong> N<br /><strong>Phone: </strong><a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /></p>';'VA Eastern Colorado health care'
vha_554GC-Registry exams;'Golden VA Clinic';'Registry exams at VA Eastern Colorado health care';'<h3>Location and contact information</h3><p class="va-address-block"><br /><br /><strong><>Phone:</strong> <a href="tel:+17207235070" aria-label="7 2 0. 7 2 3. 5 0 7 0.">720-723-5070</a><br /><strong>Hours:</strong> <br />Monday - 7:00 a.m. to 4:30 p.m. MT<br />Tuesday -  7:00 a.m. to 4:30 p.m. MT<br />Wednesday - 7:00 a.m. to 4:30 p.m. MT<br />Thursday -  7:00 a.m. to 4:30 p.m. MT<br />Friday -  7:00 a.m. to 4:30 p.m. MT<br />Saturday - Closed <br />Sunday - Closed <br /><h3>Appointments</h3><p>Contact us to schedule, reschedule, or cancel your appointment.  If a referral is required, you will need to contact your primary care provider first.</p><p><strong>Referral needed? </strong> N<br /><strong>Walk-ins accepted?</strong> Y<br /><strong>Phone: </strong><a href="tel:+13039142680" aria-label="3 0 3. 9 1 4. 2 6 8 0.">303-914-2680</a><br /></p>';'VA Eastern Colorado health care'
