Id ;Facility Name;VAMC System Health Service;Facility description of services;Owner
vha_544 - Orthopedics;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Orthopedics at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Otolaryngology;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Otolaryngology at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Patient advocates;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Patient advocates at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Pharmacy;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Pharmacy at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Physical therapy, occupational therapy and kinesiotherapy;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Physical therapy, occupational therapy and kinesiotherapy at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Podiatry;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Podiatry at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Returning service member care;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Returning service member care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Sleep medicine;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Sleep medicine at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Social work;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Social work at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Addiction and substance abuse care;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Addiction and substance abuse care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Suicide prevention;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Suicide prevention at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Telehealth;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Telehealth at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Thoracic surgery;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Thoracic surgery at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Urology;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Urology at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Vascular surgery;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Vascular surgery at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544 - Women Veteran care;'Wm. Jennings Bryan Dorn Department of Veterans Affairs Medical Center';'Women Veteran care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GD - Laboratory and pathology;'Anderson VA Clinic';'Laboratory and pathology at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GD - Mental health care;'Anderson VA Clinic';'Mental health care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GD - Primary care;'Anderson VA Clinic';'Primary care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Audiology and speech;'Greenville VA Clinic';'Audiology and speech at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Dental/oral surgery;'Greenville VA Clinic';'Dental/oral surgery at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Nutrition, food, and dietary care;'Greenville VA Clinic';'Nutrition, food, and dietary care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Primary care;'Greenville VA Clinic';'Primary care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Laboratory and pathology;'Greenville VA Clinic';'Laboratory and pathology at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Mental health care;'Greenville VA Clinic';'Mental health care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Optometry;'Greenville VA Clinic';'Optometry at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Pharmacy;'Greenville VA Clinic';'Pharmacy at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Physical therapy, occupational therapy and kinesiotherapy;'Greenville VA Clinic';'Physical therapy, occupational therapy and kinesiotherapy at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Rehabilitation and prosthetics;'Greenville VA Clinic';'Rehabilitation and prosthetics at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Radiology;'Greenville VA Clinic';'Radiology at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544BZ - Telehealth;'Greenville VA Clinic';'Telehealth at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GB - Laboratory and pathology;'Florence VA Clinic';'Laboratory and pathology at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GB - Mental health care;'Florence VA Clinic';'Mental health care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GB - Primary care;'Florence VA Clinic';'Primary care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GE - Laboratory and pathology;'Orangeburg VA Clinic';'Laboratory and pathology at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GE - Mental health care;'Orangeburg VA Clinic';'Mental health care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GE - Primary care;'Orangeburg VA Clinic';'Primary care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GC - Laboratory and pathology;'Rock Hill VA Clinic';'Laboratory and pathology at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GC - Mental health care;'Rock Hill VA Clinic';'Mental health care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GC - Primary care;'Rock Hill VA Clinic';'Primary care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GG - Laboratory and pathology;'Spartanburg VA Clinic';'Laboratory and pathology at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GG - Mental health care;'Spartanburg VA Clinic';'Mental health care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GG - Primary care;'Spartanburg VA Clinic';'Primary care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GF - Laboratory and pathology;'Sumter VA Clinic';'Laboratory and pathology at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GF - Mental health care;'Sumter VA Clinic';'Mental health care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544GF - Primary care;'Sumter VA Clinic';'Primary care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544HK - PTSD care;'Columbia VA Mobile Clinic';'PTSD care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544HK - Military sexual trauma care;'Columbia VA Mobile Clinic';'Military sexual trauma care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544HK - Social work;'Columbia VA Mobile Clinic';'Social work at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_544HK - Emergency care;'Columbia VA Mobile Clinic';'Emergency care at VA Columbia South Carolina health care';'';'VA Columbia South Carolina health care'
vha_557 - Audiology and speech;'Carl Vinson Veterans'' Administration Medical Center';'Audiology and speech at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Caregiver support;'Carl Vinson Veterans'' Administration Medical Center';'Caregiver support at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Extended care and rehabilitation;'Carl Vinson Veterans'' Administration Medical Center';'Extended care and rehabilitation at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Homeless Veteran care;'Carl Vinson Veterans'' Administration Medical Center';'Homeless Veteran care at VA Dublin health care';'';'VA Dublin health care'
vha_557 - LGBT Veteran care;'Carl Vinson Veterans'' Administration Medical Center';'LGBT Veteran care at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Mental health care;'Carl Vinson Veterans'' Administration Medical Center';'Mental health care at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Minority Veteran care;'Carl Vinson Veterans'' Administration Medical Center';'Minority Veteran care at VA Dublin health care';'';'VA Dublin health care'
vha_557 - MOVE! weight management;'Carl Vinson Veterans'' Administration Medical Center';'MOVE! weight management at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Patient advocates;'Carl Vinson Veterans'' Administration Medical Center';'Patient advocates at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Pharmacy;'Carl Vinson Veterans'' Administration Medical Center';'Pharmacy at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Primary care;'Carl Vinson Veterans'' Administration Medical Center';'Primary care at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Radiology;'Carl Vinson Veterans'' Administration Medical Center';'Radiology at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Returning service member care;'Carl Vinson Veterans'' Administration Medical Center';'Returning service member care at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Social work;'Carl Vinson Veterans'' Administration Medical Center';'Social work at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Suicide prevention;'Carl Vinson Veterans'' Administration Medical Center';'Suicide prevention at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Surgery;'Carl Vinson Veterans'' Administration Medical Center';'Surgery at VA Dublin health care';'';'VA Dublin health care'
vha_557 - Women Veteran care;'Carl Vinson Veterans'' Administration Medical Center';'Women Veteran care at VA Dublin health care';'';'VA Dublin health care'
vha_557GB - Audiology and speech;'Albany VA Clinic';'Audiology and speech at VA Dublin health care';'';'VA Dublin health care'
vha_557GB - Laboratory and pathology;'Albany VA Clinic';'Laboratory and pathology at VA Dublin health care';'';'VA Dublin health care'
vha_557GB - Mental health care;'Albany VA Clinic';'Mental health care at VA Dublin health care';'';'VA Dublin health care'
vha_557GB - My HealtheVet coordinator;'Albany VA Clinic';'My HealtheVet coordinator at VA Dublin health care';'';'VA Dublin health care'
vha_557GB - Optometry;'Albany VA Clinic';'Optometry at VA Dublin health care';'';'VA Dublin health care'
vha_557GB - Podiatry;'Albany VA Clinic';'Podiatry at VA Dublin health care';'';'VA Dublin health care'
vha_557GB - Pharmacy;'Albany VA Clinic';'Pharmacy at VA Dublin health care';'';'VA Dublin health care'
vha_557GB - Primary care;'Albany VA Clinic';'Primary care at VA Dublin health care';'';'VA Dublin health care'
vha_557GE - Nutrition, food, and dietary care;'Brunswick VA Clinic';'Nutrition, food, and dietary care at VA Dublin health care';'';'VA Dublin health care'
vha_557GE - Mental health care;'Brunswick VA Clinic';'Mental health care at VA Dublin health care';'';'VA Dublin health care'
vha_557GE - My HealtheVet coordinator;'Brunswick VA Clinic';'My HealtheVet coordinator at VA Dublin health care';'';'VA Dublin health care'
vha_557GE - Optometry;'Brunswick VA Clinic';'Optometry at VA Dublin health care';'';'VA Dublin health care'
vha_557GE - Pharmacy;'Brunswick VA Clinic';'Pharmacy at VA Dublin health care';'';'VA Dublin health care'
vha_557GE - Podiatry;'Brunswick VA Clinic';'Podiatry at VA Dublin health care';'';'VA Dublin health care'
vha_557GE - Primary care;'Brunswick VA Clinic';'Primary care at VA Dublin health care';'';'VA Dublin health care'
vha_557GE - Rehabilitation and prosthetics;'Brunswick VA Clinic';'Rehabilitation and prosthetics at VA Dublin health care';'';'VA Dublin health care'
vha_557GE - Social work;'Brunswick VA Clinic';'Social work at VA Dublin health care';'';'VA Dublin health care'
vha_557GE - Telehealth;'Brunswick VA Clinic';'Telehealth at VA Dublin health care';'';'VA Dublin health care'
vha_557GA - Mental health care;'Macon VA Clinic';'Mental health care at VA Dublin health care';'';'VA Dublin health care'
vha_557GA - Laboratory and pathology;'Macon VA Clinic';'Laboratory and pathology at VA Dublin health care';'';'VA Dublin health care'
vha_557GA - My HealtheVet coordinator;'Macon VA Clinic';'My HealtheVet coordinator at VA Dublin health care';'';'VA Dublin health care'
vha_557GA - Pharmacy;'Macon VA Clinic';'Pharmacy at VA Dublin health care';'';'VA Dublin health care'
vha_557GA - Primary care;'Macon VA Clinic';'Primary care at VA Dublin health care';'';'VA Dublin health care'
vha_557GA - Smoking and tobacco cessation;'Macon VA Clinic';'Smoking and tobacco cessation at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - Hematology/oncology;'Milledgeville VA Clinic';'Hematology/oncology at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - Diabetic care;'Milledgeville VA Clinic';'Diabetic care at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - HIV/hepatitis care;'Milledgeville VA Clinic';'HIV/hepatitis care at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - Laboratory and pathology;'Milledgeville VA Clinic';'Laboratory and pathology at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - Pharmacy;'Milledgeville VA Clinic';'Pharmacy at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - Mental health care;'Milledgeville VA Clinic';'Mental health care at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - MOVE! weight management;'Milledgeville VA Clinic';'MOVE! weight management at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - My HealtheVet coordinator;'Milledgeville VA Clinic';'My HealtheVet coordinator at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - Primary care;'Milledgeville VA Clinic';'Primary care at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - Smoking and tobacco cessation;'Milledgeville VA Clinic';'Smoking and tobacco cessation at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - Social work;'Milledgeville VA Clinic';'Social work at VA Dublin health care';'';'VA Dublin health care'
vha_557GC - Telehealth;'Milledgeville VA Clinic';'Telehealth at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Cardiology;'Perry VA Clinic';'Cardiology at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Mental health care;'Perry VA Clinic';'Mental health care at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Dermatology;'Perry VA Clinic';'Dermatology at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Diabetic care;'Perry VA Clinic';'Diabetic care at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Laboratory and pathology;'Perry VA Clinic';'Laboratory and pathology at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - MOVE! weight management;'Perry VA Clinic';'MOVE! weight management at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - My HealtheVet coordinator;'Perry VA Clinic';'My HealtheVet coordinator at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Nutrition, food, and dietary care;'Perry VA Clinic';'Nutrition, food, and dietary care at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Optometry;'Perry VA Clinic';'Optometry at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Pharmacy;'Perry VA Clinic';'Pharmacy at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Primary care;'Perry VA Clinic';'Primary care at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Smoking and tobacco cessation;'Perry VA Clinic';'Smoking and tobacco cessation at VA Dublin health care';'';'VA Dublin health care'
vha_557HA - Telehealth;'Perry VA Clinic';'Telehealth at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - Hematology/oncology;'Tifton VA Clinic';'Hematology/oncology at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - Diabetic care;'Tifton VA Clinic';'Diabetic care at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - HIV/hepatitis care;'Tifton VA Clinic';'HIV/hepatitis care at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - Laboratory and pathology;'Tifton VA Clinic';'Laboratory and pathology at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - Pharmacy;'Tifton VA Clinic';'Pharmacy at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - Mental health care;'Tifton VA Clinic';'Mental health care at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - MOVE! weight management;'Tifton VA Clinic';'MOVE! weight management at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - My HealtheVet coordinator;'Tifton VA Clinic';'My HealtheVet coordinator at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - Primary care;'Tifton VA Clinic';'Primary care at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - Smoking and tobacco cessation;'Tifton VA Clinic';'Smoking and tobacco cessation at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - Social work;'Tifton VA Clinic';'Social work at VA Dublin health care';'';'VA Dublin health care'
vha_557GF - Telehealth;'Tifton VA Clinic';'Telehealth at VA Dublin health care';'';'VA Dublin health care'
vha_679 - Audiology and speech;'Tuscaloosa VA Medical Center';'Audiology and speech at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Caregiver support;'Tuscaloosa VA Medical Center';'Caregiver support at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Extended care and rehabilitation;'Tuscaloosa VA Medical Center';'Extended care and rehabilitation at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Dental/oral surgery;'Tuscaloosa VA Medical Center';'Dental/oral surgery at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Cardiology;'Tuscaloosa VA Medical Center';'Cardiology at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Mental health care;'Tuscaloosa VA Medical Center';'Mental health care at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Geriatrics;'Tuscaloosa VA Medical Center';'Geriatrics at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Homeless Veteran care;'Tuscaloosa VA Medical Center';'Homeless Veteran care at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Laboratory and pathology;'Tuscaloosa VA Medical Center';'Laboratory and pathology at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - LGBT Veteran care;'Tuscaloosa VA Medical Center';'LGBT Veteran care at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Minority Veteran care;'Tuscaloosa VA Medical Center';'Minority Veteran care at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - My HealtheVet coordinator;'Tuscaloosa VA Medical Center';'My HealtheVet coordinator at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Neurology;'Tuscaloosa VA Medical Center';'Neurology at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Hematology/oncology;'Tuscaloosa VA Medical Center';'Hematology/oncology at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Optometry;'Tuscaloosa VA Medical Center';'Optometry at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Patient advocates;'Tuscaloosa VA Medical Center';'Patient advocates at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Pharmacy;'Tuscaloosa VA Medical Center';'Pharmacy at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Physical therapy, occupational therapy and kinesiotherapy;'Tuscaloosa VA Medical Center';'Physical therapy, occupational therapy and kinesiotherapy at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Podiatry;'Tuscaloosa VA Medical Center';'Podiatry at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Primary care;'Tuscaloosa VA Medical Center';'Primary care at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Rehabilitation and prosthetics;'Tuscaloosa VA Medical Center';'Rehabilitation and prosthetics at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Psychology;'Tuscaloosa VA Medical Center';'Psychology at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Radiology;'Tuscaloosa VA Medical Center';'Radiology at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Pulmonary medicine;'Tuscaloosa VA Medical Center';'Pulmonary medicine at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Returning service member care;'Tuscaloosa VA Medical Center';'Returning service member care at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Social work;'Tuscaloosa VA Medical Center';'Social work at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Spinal cord injury and disorders;'Tuscaloosa VA Medical Center';'Spinal cord injury and disorders at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Suicide prevention;'Tuscaloosa VA Medical Center';'Suicide prevention at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Whole health;'Tuscaloosa VA Medical Center';'Whole health at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679 - Women Veteran care;'Tuscaloosa VA Medical Center';'Women Veteran care at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679GA - Mental health care;'Selma Va Clinic';'Mental health care at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679GA - Laboratory and pathology;'Selma Va Clinic';'Laboratory and pathology at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679GA - My HealtheVet coordinator;'Selma Va Clinic';'My HealtheVet coordinator at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679GA - Pharmacy;'Selma Va Clinic';'Pharmacy at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679GA - Primary care;'Selma Va Clinic';'Primary care at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679GA - Smoking and tobacco cessation;'Selma Va Clinic';'Smoking and tobacco cessation at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_679HK - Primary care;'Tuscaloosa VA Mobile Clinic';'Primary care at VA Tuscaloosa health care';'';'VA Tuscaloosa health care'
vha_516 - Amputation care;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Amputation care at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Bariatric surgery;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Bariatric surgery at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Cardiology;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Cardiology at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Telehealth;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Telehealth at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Caregiver support;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Caregiver support at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Chiropractic;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Chiropractic at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Dental/oral surgery;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Dental/oral surgery at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Diabetic care;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Diabetic care at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Neurology;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Neurology at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Surgery;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Surgery at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Gynecology;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Gynecology at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Homeless Veteran care;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Homeless Veteran care at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Physical therapy, occupational therapy and kinesiotherapy;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Physical therapy, occupational therapy and kinesiotherapy at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - LGBT Veteran care;'C.W. Bill Young Department of Veterans Affairs Medical Center';'LGBT Veteran care at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Extended care and rehabilitation;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Extended care and rehabilitation at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Mental health care;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Mental health care at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Minority Veteran care;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Minority Veteran care at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - MOVE! weight management;'C.W. Bill Young Department of Veterans Affairs Medical Center';'MOVE! weight management at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Radiology;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Radiology at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Nutrition, food, and dietary care;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Nutrition, food, and dietary care at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Ophthalmology;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Ophthalmology at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Optometry;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Optometry at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Orthopedics;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Orthopedics at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Otolaryngology;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Otolaryngology at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Pain management;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Pain management at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Laboratory and pathology;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Laboratory and pathology at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Patient advocates;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Patient advocates at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Pharmacy;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Pharmacy at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Physical medicine and rehabilitation;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Physical medicine and rehabilitation at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Primary care;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Primary care at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Plastic and reconstructive surgery;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Plastic and reconstructive surgery at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Podiatry;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Podiatry at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Polytrauma and traumatic brain injury;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Polytrauma and traumatic brain injury at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Psychology;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Psychology at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Radiation oncology;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Radiation oncology at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Recreation and creative arts therapy;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Recreation and creative arts therapy at VA Bay Pines health care';'';'VA Bay Pines health care'
vha_516 - Returning service member care;'C.W. Bill Young Department of Veterans Affairs Medical Center';'Returning service member care at VA Bay Pines health care';'';'VA Bay Pines health care'
