ID;Health Services;Full Upload;Health System;Owner
Neurology at VA Central Texas health care;Neurology;'<H3>Care we provide at VA Central Texas health care</H3><p>We provide inpatient and outpatient services for chronic diseases and disorders that affect your brain, spine, and the nerves that connect them. Our neurologists read electroencephalogram (EEG) recordings, which measure the electrical impulses brain cells use to communicate with each other. We evaluate and treat many neurological illnesses and disorders such as:<p><ul><li>Neuropathy (nerve damage), myelopathy and other spinal cord injuries, and radiculopathy (pinched nerves)</li><li>Parkinson''s disease, epilepsy, and multiple sclerosis</li><li>Stroke, dementia, and degenerative diseases</li><li>Other neurological conditions</li></ul>';VA Central Texas health care;VA Central Texas health care
Nutrition, food, and dietary care at VA Central Texas health care;Nutrition, food, and dietary care;<H3>Care we provide at VA Central Texas health care</H3><p>Our registered dietitians can help you maintain or improve your health with good nutrition tailored to your needs. Through group, individual, and telehealth sessions, we provide nutrition education and counseling in areas such as:<p><ul><li>Cardiovascular and heart health</li><li>Chronic kidney disease</li><li>Diabetes (including gestational diabetes)</li><li>Eating disorders and digestive health</li><li>Pregnancy and postpartum nutrition</li><li>Weight management</li></ul>;VA Central Texas health care;VA Central Texas health care
Orthopedics at VA Central Texas health care;Orthopedics;<H3>Care we provide at VA Central Texas health care</H3><p>We use surgical and nonsurgical means to treat illnesses and disorders of the musculoskeletal system, which includes your bones, muscles, joints, cartilage, tendons, ligaments, and other connective tissue. We treat conditions like:<p><ul><li>Musculoskeletal trauma</li><li>Degenerative illnesses</li><li>Sports injuries</li></ul>;VA Central Texas health care;VA Central Texas health care
Patient advocates at VA Central Texas health care;Patient advocates;<H3>Care we provide at VA Central Texas health care</H3><p>Our patient advocates work hard to make sure you receive the best possible care at our health care facilities. They can:<p><ul><li>Help you get answers or address concerns with your care team</li><li>Advocate for patient and family rights</li><li>Serve as advocates for minority Veterans, women Veterans, and Veterans with disabilities</li><li>Offer specialized help to former prisoners of war and Veterans transitioning from Operation Enduring Freedom (OEF), Operation Iraqi Freedom (OIF), and Operation New Dawn (OND)</li></ul><p>Learn more and connect with a patient advocate;VA Central Texas health care;VA Central Texas health care
Pharmacy at VA Central Texas health care;Pharmacy;<H3>Care we provide at VA Central Texas health care</H3><p>Our pharmacy provides you and other Veterans with convenient, efficient service to make it easy to get your medications and medical supplies. You can:<p><ul><li>Pick up new prescriptions in person</li><li>Refill prescriptions online and by phone or mail</li><li>Safely dispose of medicines</li></ul><p>Learn more about our pharmacy;VA Central Texas health care;VA Central Texas health care
Physical medicine and rehabilitation at VA Central Texas health care;Physical medicine and rehabilitation;<H3>Care we provide at VA Central Texas health care</H3><p>Our physical medicine and rehabilitation doctors and therapists focus on whole-body health. They can help you manage your pain, increase your independence, and improve your quality of life with services like:<p><ul><li>Personalized therapy for your rehabilitation</li><li>Medication, stretching, and massage for short-term pain relief</li><li>Strengthening exercises and movement therapy to increase fitness and prevent future pain</li><li>Recreation therapy to create coping and social skills</li><li>Occupational therapy to improve coordination and balance, and help you manage life skills and everyday activities</li><li>Assessment and treatment of speech, language, and swallowing disorders</li></ul>;VA Central Texas health care;VA Central Texas health care
Physical therapy, occupational therapy and kinesiotherapy at VA Central Texas health care;Physical therapy, occupational therapy and kinesiotherapy;'<H3>Care we provide at VA Central Texas health care</H3><p>If you''re living with or recovering from an injury, illness, or chronic condition that limits your mobility and independence, we can help. Our physical, occupational, and movement therapists combine therapeutic exercise, counseling, education, and training to help you improve your health and quality of life. Our services include:<p><ul><li>Pain relief and joint mobilization</li><li>Movement and exercise therapies to improve your strength, endurance, balance, and coordination</li><li>Mobility assessment and training with wheelchairs, scooters, and walking devices</li><li>Life skills training and activities to help you maintain the highest level of independence and functionality</li><li>Aquatic therapy to manage chronic pain</li><li>Evaluation and treatment for a wide range of medical, orthopedic, psychosocial, and neurological conditions</li></ul>';VA Central Texas health care;VA Central Texas health care
Primary care at VA Central Texas health care;Primary care;'<H3>Care we provide at VA Central Texas health care</H3><p>A strong network of family and internal medicine specialists and services can offer you the best possible care. Internal medicine doctors (internists) prevent, diagnose, and treat adult diseases. Doctors who specialize in family medicine provide primary health care to the entire family. Your primary care team can coordinate the many services you receive such as:<p><ul><li>Labs and blood work</li><li>Mental health care</li><li>women''s health care</li><li>Radiology</li><li>Social services</li><li>Telehealth</li></ul>';VA Central Texas health care;VA Central Texas health care
Psychology at VA Central Texas health care;Psychology;<H3>Care we provide at VA Central Texas health care</H3><p>Our psychology teams offer consultation, evaluation, and treatment to help with a range of mental and behavioral health problems like:<p><ul><li>Depression (including sadness and grief), anxiety (including worry and nervousness), and personality disorders</li><li>Addictive behaviors and substance abuse</li><li>Post-traumatic stress disorder (PTSD) and combat-related stress disorder</li><li>Emotional issues like anger management and relationship challenges</li><li>Confused thinking, memory problems, and invasive thoughts or ideas</li><li>Aggressive or self-harming behaviors</li></ul>;VA Central Texas health care;VA Central Texas health care
PTSD care at VA Central Texas health care;PTSD care;'<H3>Care we provide at VA Central Texas health care</H3><p>Post-traumatic stress disorder (PTSD) is a mental health problem that some people develop after experiencing or witnessing a life-threatening event, like combat, a natural disaster, a car accident, or sexual assault. It''s normal to have upsetting memories, feel on edge, or have trouble sleeping after this type of event. If symptoms last more than a few months, it may be PTSD. We can help you with effective treatments and support services, like:<p><ul><li>Psychiatric and psychological counseling</li><li>Services for Veterans who are homeless</li><li>Treatment for addictive disorders</li><li>Transition and care management for post-9/11 combat Veterans of Operation Enduring Freedom (OEF), Operation Iraqi Freedom (OIF), and Operation New Dawn (OND)</li></ul><p><a href="https://www.ptsd.va.gov/">Learn more about PTSD</a>';VA Central Texas health care;VA Central Texas health care
Pulmonary medicine at VA Central Texas health care;Pulmonary medicine;<H3>Care we provide at VA Central Texas health care</H3><p>If you find it difficult to breathe or sleep, our pulmonary (lung) specialists can help. We offer education, exercises, and treatments like:<p><ul><li>Oxygen therapy to help you stay active and breathe better</li><li>Pulmonary rehabilitation to build your strength and increase lung capacity</li><li>Healthy diets to help you manage your weight and improve energy</li><li>Strategies to help you increase your feelings of control, optimism, and self-esteem</li><li>Tests to measure your lung function, lung volume, and blood gas</li></ul>;VA Central Texas health care;VA Central Texas health care
Recreation and creative arts therapy at VA Central Texas health care;Recreation and creative arts therapy;'<H3>Care we provide at VA Central Texas health care</H3><p>Our therapies promote your independence and enhance your health and well-being if you''re a Veteran with an injury, chronic (long-lasting) illness, or disabling condition. After your primary health care provider gives you a referral, a recreation therapist will develop treatment goals for you.<p><ul><li>Recreation and creative arts therapy provides services and activities that include:</li><li>Animal interaction</li><li>Music, art, and crafts</li><li>Community outings</li><li>Exercise, sports, and games</li><li>Gardening and leisure education</li></ul>';VA Central Texas health care;VA Central Texas health care
Rehabilitation and prosthetics at VA Central Texas health care;Rehabilitation and prosthetics;'<H3>Care we provide at VA Central Texas health care</H3><p>VA is the world''s largest and most comprehensive provider of sensory aides and prosthetic devices. Veterans enrolled in the VA health care system and referred by a physical medicine and rehabilitation physician can receive a full range of services and equipment like:<p><ul><li>Artificial limbs and surgical implants, including artificial joints and pacemakers</li><li>Wheelchairs and other medical devices</li><li>Aids for Veterans who are blind, have low vision, or are hearing impaired</li><li>Adaptive equipment and modifications to make your vehicle or home more accessible</li><li>Other devices and services to help increase your mobility, dignity, and independence</li><li>Clothing allowance for Veterans with devices that damage their clothing</li></ul>';VA Central Texas health care;VA Central Texas health care
Returning service member care at VA Central Texas health care;Returning service member care;'<H3>Care we provide at VA Central Texas health care</H3><p>We can help you readjust to civilian life if you''re returning from military service, on active duty, or an activated National Guard or Reserve member. Talk to one of our care coordinators about how to best use your health care benefits.<p><ul><li>Polytrauma care (if you have multiple traumatic injuries)</li><li>Counseling and rehabilitation</li><li>Mental and behavioral health services</li><li>Family benefits counseling and assistance</li><li>Referral assistance</li></ul><p>Learn more and connect with a coordinator';VA Central Texas health care;VA Central Texas health care
Rheumatology at VA Central Texas health care;Rheumatology;<H3>Care we provide at VA Central Texas health care</H3><p>Our doctors treat inflammation, stiffness, or pain in your muscles, joints, and tendons. Common rheumatic illnesses include:<p><ul><li>Juvenile idiopathic and infectious arthritis</li><li>Osteoarthritis and rheumatoid arthritis</li><li>Lupus, gout, and scleroderma</li></ul>;VA Central Texas health care;VA Central Texas health care
Social work at VA Central Texas health care;Social work;<H3>Care we provide at VA Central Texas health care</H3><p>Social work is integral to health care. We can help you and your family manage stress-related problems due to injury or illness, and find VA community resources to meet your needs like:<p><ul><li>Home health services</li><li>Legal services</li><li>Transportation</li><li>Community living</li></ul>;VA Central Texas health care;VA Central Texas health care
Spinal cord injury and disorders at VA Central Texas health care;Spinal cord injury and disorders;'<H3>Care we provide at VA Central Texas health care</H3><p>VA has the nation''s largest system of care for spinal cord injuries and disorders. We provide a convenient, connected network of experts to care for you during each phase of your life. Our experienced primary care providers are trained to check for problems unique to spinal cord injuries.<p><ul><li>Pressure ulcers</li><li>Pneumonia</li><li>Blood clots</li><li>Bladder and sexual issues</li><li>Constipation and other gastrointestinal problems</li><li>Sexual issues</li></ul><p><a href="https://www.sci.va.gov/VAs_SCID_System_of_Care.asp">Learn more about the VA spinal cord injuries and disorders care system</a>';VA Central Texas health care;VA Central Texas health care
Suicide prevention at VA Central Texas health care;Suicide prevention;<H3>Care we provide at VA Central Texas health care</H3><p>We work with behavioral health providers and community organizations to help you and your family during times of crisis. We offer:<p><ul><li>Suicide prevention care coordinators</li><li>Suicide prevention case managers</li><li>Gun safety locks</li><li></li></ul><p>Learn more and connect with a care coordinator;VA Central Texas health care;VA Central Texas health care
Telehealth at VA Central Texas health care;Telehealth;<H3>Care we provide at VA Central Texas health care</H3><p>We use the latest in secure digital technology to set up remote visits with our health care providers. We offer video conferencing, home telehealth services, and store-and-forward telehealth that lets you securely send your health information to experts at VA facilities. We offer telehealth visits with providers in:<p><ul><li>Mental health</li><li>Retinal care (eye)</li><li>Bariatric surgery (visit remotely with your weight-loss surgery team before and after your operation)</li><li>Dermatology</li><li>Rehabilitation</li><li>Primary care</li></ul><p><a href="https://www.telehealth.va.gov/">Learn more about telehealth</a>;VA Central Texas health care;VA Central Texas health care
Women Veteran care at VA Central Texas health care;Women Veteran care;'<H3>Care we provide at VA Central Texas health care</H3><p>Our women''s health program offers complete health care for women Veterans of all ages. Our primary care providers specialize in women''s health. They work closely with specialists in gynecology, obstetrics, female urology, oncology, medicine, radiology, surgery, and breast illness. Our services for women Veterans include:<p><ul><li>Ultrasounds, mammograms, Pap and HPV tests</li><li>Mental health care and counseling</li><li>Lifestyle wellness services</li><li>Menopause treatment, including hormonal therapy</li><li>Family planning, contraceptive care, and infertility evaluation</li></ul><p>Learn more and connect with a care coordinator';VA Central Texas health care;VA Central Texas health care
Smoking and tobacco cessation at VA Central Texas health care;Smoking and tobacco cessation;<H3>Care we provide at VA Central Texas health care</H3><p>You can quit smoking or chewing tobacco. Our goal is to provide support and strategies to add to optional nicotine replacement therapy prescribed by your primary care doctor. These include:<p><ul><li>FDA-approved medications to manage nicotine withdrawal and the urge to smoke.</li><li>Counseling in person or by phone</li><li>Tobacco Cessation Quitline for individual counseling and strategies</li><li>SmokefreeVET text message program for daily advice and interactive support</li><li>Stay Quit Coach mobile app to help you quit smoking and stay smoke-free</li></ul><p><a href="https://www.mentalhealth.va.gov/quit-tobacco/how-to-quit.asp">Learn more about how to quit</a>;VA Central Texas health care;VA Central Texas health care
Optometry at VA Central Texas health care;Optometry;'<H3>Care we provide at VA Central Texas health care</H3><p>Our optometrists provide many eye-related services and treatments like:<p><ul><li>Vision services and eye exams</li><li>Treatment for diseases and injuries of the retina, cornea, and other parts of your eye</li><li>Low-vision services for conditions like macular degeneration that can''t be corrected by glasses, surgery, or medication</li><li>Special eye exams for diabetic patients</li></ul>';VA Central Texas health care;VA Central Texas health care
Otolaryngology at VA Central Texas health care;Otolaryngology;<H3>Care we provide at VA Central Texas health care</H3><p>We evaluate, diagnose, and treat a wide range of ear, nose, and throat conditions, like:<p><ul><li>Nasal and sinus problems</li><li>Obstructive sleep apnea</li><li>Throat, lymph node, thyroid, and parathyroid tumors and other conditions</li><li>Voice and swallowing disorders</li></ul>;VA Central Texas health care;VA Central Texas health care
Pain management at VA Central Texas health care;Pain management;<H3>Care we provide at VA Central Texas health care</H3><p>Acute (short-term) or chronic (long-lasting) pain can make it hard to enjoy life, but effective pain management can help. Our experts work with you, your primary care physician, and other specialists to create a plan to help you manage your pain and improve your quality of life. Our services include:<p><ul><li>Chiropractic care to relieve pain without medication</li><li>Prescribing and supervising your use of medications</li><li>Teaching you skills that include meditation, mindfulness training, relaxation, yoga, and tai chi to help you manage your pain</li><li>Providing physical therapy, acupuncture, massage, biofeedback, and other compatible therapies</li></ul>;VA Central Texas health care;VA Central Texas health care
Podiatry at VA Central Texas health care;Podiatry;<H3>Care we provide at VA Central Texas health care</H3><p>After years of walking, running, marching, jumping, rappelling, and parachuting, many Veterans experience trouble with their feet and ankles. We can help treat those problems so you can continue to enjoy an active lifestyle. Our podiatry services include:<p><ul><li>Arthritis care for inflamed, swollen, or damaged joints</li><li>Foot and ankle fracture treatment, repair of cartilage, torn tendons and ligaments</li><li>Injections to reduce pain and swelling</li><li>Joint arthroplasty (surgical repair or reconstruction) and replacement</li><li>Minimally invasive surgery and post-surgical rehabilitation</li><li>Foot health maintenance procedures (bunion removal, resurfacing, and nail trimming)</li></ul>;VA Central Texas health care;VA Central Texas health care
Radiology at VA Central Texas health care;Radiology;<H3>Care we provide at VA Central Texas health care</H3><p>We offer radiology and imaging services to diagnose and treat many medical conditions. Our services include:<p><ul><li>X-ray</li><li>Ultrasound</li><li>Mammography (mammograms)</li><li>Computer tomography (CT)</li><li>Positron emission tomography (PET)</li><li>Magnetic resonance imaging (MRI)</li></ul>;VA Central Texas health care;VA Central Texas health care
Diabetic care at VA Central Texas health care;Diabetic care;<H3>Care we provide at VA El Paso health care</H3><p>We offer many medical and support services to help you manage your diabetes, like:<p><ul><li>Self-management, education, and support classes</li><li>Insulin therapy and blood-glucose meter training</li><li>Diabetes survival skills that include sick-day management, lifestyle changes, nutrition advice, and cooking classes</li></ul>;VA Central Texas health care;VA Central Texas health care
Caregiver support at VA El Paso health care;Caregiver support;'<H3>Care we provide at VA El Paso health care</H3><p>If you''re a caregiver for a Veteran, you can get support by contacting one of our caregiver support coordinators. If the Veteran you care for was injured post-9/11, you may be eligible for even more services, including a stipend to help with expenses, training, and medical coverage if you aren''t already covered. For all caregivers, we can:<p><ul><li>Help you get caregiver assistance available through VA</li><li>Provide progressive needs planning to help you manage degenerative conditions</li><li>Match you with services and benefits</li><li>Connect you with local resources and programs</li><li>Listen to you when you struggle</li></ul><p>Learn more and connect with a support coordinator';VA El Paso health care;VA El Paso health care
Homeless Veteran care at VA El Paso health care;Homeless Veteran care;<H3>Care we provide at VA El Paso health care</H3><p>We help Veterans who are homeless or at risk of becoming homeless due to financial hardship, unemployment, addiction, depression, or transition from jail. Contact one of our care coordinators to get help with:<p><ul><li>Immediate food and shelter needs, including both transitional and permanent housing</li><li>Job training, life skills development, and education</li><li>Justice system navigation and community reentry from jail</li><li>Financial support to prevent homelessness</li><li>Addiction and depression treatment</li><li>Health and dental care</li></ul><p>Learn more and connect with a care coordinator;VA El Paso health care;VA El Paso health care
LGBT Veteran care at VA El Paso health care;LGBT Veteran care;<H3>Care we provide at VA El Paso health care</H3><p>We promote the health, welfare, and dignity of lesbian, gay, bisexual, and transgender (LGBT) Veterans and their families. We focus on ensuring a safe, welcoming, and affirmative environment when providing you with sensitive and high-quality health care services like:<p><ul><li>Hormone therapy</li><li>Substance use and alcohol treatment</li><li>Testing and treatment for HIV and sexually transmitted infections (STI)</li><li>Mental health care</li><li>Psychosocial assessments for gender-confirming surgeries and hormone therapy</li></ul><p>Learn more and connect with a care coordinator;VA El Paso health care;VA El Paso health care
Mental health care at VA El Paso health care;Mental health care;<H3>Care we provide at VA El Paso health care</H3><p>Our medical center and clinics provide consultation, evaluation, and treatment for a range of issues that may impact your mental health or emotional well-being. Our confidential outpatient services include individual and group therapy for:<p><ul><li>Psychiatric disorders such as schizophrenia, bipolar disorder, and depression</li><li>Marriage and relationship problems</li><li>Post-traumatic stress disorder (PTSD)</li><li>Anxiety, addictive behaviors, and personality disorders</li><li>Aggressive or self-harming behaviors</li></ul><p>Learn more and connect with a care coordinator;VA El Paso health care;VA El Paso health care
Military sexual trauma care at VA El Paso health care;Military sexual trauma care;<H3>Care we provide at VA El Paso health care</H3><p>We offer care for military sexual trauma in our mental (behavioral) health clinics. Military sexual trauma refers to sexual assault, sexual harassment, or other threatening, offensive, or unwanted sexual advances, activities, or remarks that you experienced in the military. Our goal is to help you improve your quality of life with strategies to manage emotions and memories related to your military sexual trauma. Our services include:<p><ul><li>Counseling</li><li>Psychiatric care</li><li>Walk-in care</li></ul><p><a href="/node/24">Learn more about military sexual trauma</a>;VA El Paso health care;VA El Paso health care
Minority Veteran care at VA El Paso health care;Minority Veteran care;'<H3>Care we provide at VA El Paso health care</H3><p>If you''re a minority Veteran, we can help you get the services and benefits you need. Our Minority Veterans Program serves all Veterans who are Black American, Asian American, Hispanic American, and Native American (including American Indians, Alaska Natives, Native Hawaiians, and Pacific Island Americans). We work to:<p><ul><li>Help the medical center address minority Veterans'' needs</li><li>Meet minority Veterans'' needs in the local community</li><li>Identify barriers and create a more accessible environment for minority Veterans</li><li>Inform minority Veterans of VA benefits, services, and programs</li></ul><p>Learn more and connect with a care coordinator';VA El Paso health care;VA El Paso health care
My HealtheVet coordinator at VA El Paso health care;My HealtheVet coordinator;<H3>Care we provide at VA El Paso health care</H3><p>My HealtheVet is a web-based tool you can use to manage your care and improve your health from your computer or mobile device. You can access your personal health records and use tools to manage your care through our My HealtheVet online system. You can also use My HealtheVet to refill your prescriptions, track appointments, and read informative health articles. If you need help using My HealtheVet, you can contact our coordinator by phone or in person. With My HealtheVet, you can:<p><ul><li>Ask questions and exchange secure online messages with your VA health care team</li><li>Check your lab and test results</li><li>Refill your prescriptions, track delivery, and view a list of your medications</li><li>Keep track of your VA medical appointments and get email reminders</li><li>View, download, or print a copy of your VA medical records</li><li>Enter or update your personal information</li></ul><p><a href="https://www.myhealth.va.gov/mhv-portal-web/home">Learn more and register for My HealtheVet</a>;VA El Paso health care;VA El Paso health care
Patient advocates at VA El Paso health care;Patient advocates;<H3>Care we provide at VA El Paso health care</H3><p>Our patient advocates work hard to make sure you receive the best possible care at our health care facilities. They can:<p><ul><li>Help you get answers or address concerns with your care team</li><li>Advocate for patient and family rights</li><li>Serve as advocates for minority Veterans, women Veterans, and Veterans with disabilities</li><li>Offer specialized help to former prisoners of war and Veterans transitioning from Operation Enduring Freedom (OEF), Operation Iraqi Freedom (OIF), and Operation New Dawn (OND)</li></ul><p>Learn more and connect with a patient advocate;VA El Paso health care;VA El Paso health care
Pharmacy at VA El Paso health care;Pharmacy;<H3>Care we provide at VA El Paso health care</H3><p>Our pharmacy provides you and other Veterans with convenient, efficient service to make it easy to get your medications and medical supplies. You can:<p><ul><li>Pick up new prescriptions in person</li><li>Refill prescriptions online and by phone or mail</li><li>Safely dispose of medicines</li></ul><p>Learn more about our pharmacy;VA El Paso health care;VA El Paso health care
Registry exams at VA El Paso health care;Registry exams;'<H3>Care we provide at VA El Paso health care</H3><p>This free, voluntary, and comprehensive health exam involves an exposure and medical history, laboratory tests, and a physical exam. We will discuss your results in a face-to-face meeting and follow up with a letter. The registry evaluation, which does not verify exposure, is separate from VA''s disability compensation process. You may be eligible to participate in one or more of these health registries if you served during these time periods:<p><ul><li>Ionizing radiation (1940s to 1960s)</li><li>Agent Orange (1960s and 1970s)</li><li>Airborne hazards and open burn pit (1990s to present)</li><li>Gulf War (1990s to present)</li><li>Depleted uranium (DU) (1990s to present)</li><li>Toxic embedded fragments/shrapnel (2000s to present)</li></ul><p><a href="https://www.publichealth.va.gov/exposures/benefits/registry-evaluation.asp">Learn more about VA Health Registry</a>';VA El Paso health care;VA El Paso health care
Returning service member care at VA El Paso health care;Returning service member care;'<H3>Care we provide at VA El Paso health care</H3><p>We can help you readjust to civilian life if you''re returning from military service, on active duty, or an activated National Guard or Reserve member. Talk to one of our care coordinators about how to best use your health care benefits.<p><ul><li>Polytrauma care (if you have multiple traumatic injuries)</li><li>Counseling and rehabilitation</li><li>Mental and behavioral health services</li><li>Family benefits counseling and assistance</li><li>Referral assistance</li></ul><p>Learn more and connect with a coordinator';VA El Paso health care;VA El Paso health care
Suicide prevention at VA El Paso health care;Suicide prevention;<H3>Care we provide at VA El Paso health care</H3><p>We work with behavioral health providers and community organizations to help you and your family during times of crisis. We offer:<p><ul><li>Suicide prevention care coordinators</li><li>Suicide prevention case managers</li><li>Gun safety locks</li><li></li></ul><p>Learn more and connect with a care coordinator;VA El Paso health care;VA El Paso health care
Travel reimbursement at VA El Paso health care;Travel reimbursement;'<H3>Care we provide at VA El Paso health care</H3><p>If you''re traveling for VA-approved care, we can repay you for the cost of using regular transportation that includes cars, planes, trains, buses, taxis, rideshare, or light rail. You may also be eligible for repayment when using ambulances, wheelchair vans, or ambulettes (non-emergency medical transportation).<p><ul><li>Round-trip transportation services between your home and our hospital and clinics (beneficiary travel)</li><li>Mileage reimbursement debit cards</li></ul><p><a href="https://www.va.gov/HealthBenefits/vtp/Beneficiary_Travel.asp">Learn more about  VA travel pay reimbursement</a>';VA El Paso health care;VA El Paso health care
Women Veteran care at VA El Paso health care;Women Veteran care;'<H3>Care we provide at VA El Paso health care</H3><p>Our women''s health program offers complete health care for women Veterans of all ages. Our primary care providers specialize in women''s health. They work closely with specialists in gynecology, obstetrics, female urology, oncology, medicine, radiology, surgery, and breast illness. Our services for women Veterans include:<p><ul><li>Ultrasounds, mammograms, Pap and HPV tests</li><li>Mental health care and counseling</li><li>Lifestyle wellness services</li><li>Menopause treatment, including hormonal therapy</li><li>Family planning, contraceptive care, and infertility evaluation</li></ul><p>Learn more and connect with a care coordinator';VA El Paso health care;VA El Paso health care
Sleep medicine at VA El Paso health care;Sleep medicine;'<H3>Care we provide at VA El Paso health care</H3><p>At various points in our lives, all of us suffer from a lack of sleep. But, if you are spending enough time in bed and still wake up tired or feel very sleepy during the day, you may have a sleep disorder. We can help. Our sleep specialists can:<p><ul><li>Diagnose and treat sleep apnea and other sleep disorders</li><li>Monitor your blood oxygen levels and heart rate</li><li>Study your brain waves during sleep</li><li>Evaluate possible causes for your excessive sleepiness</li><li>Conduct sleep tests performed at home or in the lab</li><li>Work with your doctors if you need surgery or dental appliances to help you get a good night''s sleep</li></ul>';VA El Paso health care;VA El Paso health care
Extended care and rehabilitation at VA El Paso health care;Extended care and rehabilitation;'<H3>Care we provide at VA El Paso health care</H3><p>We provide long-term care to help you and your family when you''re dealing with a disability, chronic (long-lasting) illness, terminal illness, or serious health issues related to aging. Our long-term health care services include:<p><ul><li>24/7 nursing and medical care</li><li>Physical therapy</li><li>Help with daily tasks like bathing, dressing, making meals, and taking medicine</li><li>Pain management and palliative care to relieve suffering and improve quality of life for people with serious illnesses</li><li>Hospice care to provide comfort and compassionate care for people in the last phases of an incurable illness</li><li>To learn more about the different types of extended care that VA provides, see our guide to long-term services and support.</li></ul><p><a href="https://www.va.gov/GERIATRICS/">Learn more about VA long-term care</a>';VA El Paso health care;VA El Paso health care
Primary care at VA El Paso health care;Primary care;'<H3>Care we provide at VA North Texas health care</H3><p>A strong network of family and internal medicine specialists and services can offer you the best possible care. Internal medicine doctors (internists) prevent, diagnose, and treat adult diseases. Doctors who specialize in family medicine provide primary health care to the entire family. Your primary care team can coordinate the many services you receive such as:<p><ul><li>Labs and blood work</li><li>Mental health care</li><li>women''s health care</li><li>Radiology</li><li>Social services</li><li>Telehealth</li></ul>';VA El Paso health care;VA El Paso health care
Anesthesia at VA North Texas health care;Anesthesia;'<H3>Care we provide at VA North Texas health care</H3><p>Our specially trained doctors, called anesthesiologists, can help with your care before, during, and after surgery. They will develop a plan for your care and safety, provide medicine to keep you comfortable during your operation, and help you manage your pain after surgery. Our services include:<p><ul><li>General anesthesia (intravenous drugs, inhaled gasses, or some combination) to keep you pain-free and in a sleep-like state during surgery or other medical procedures</li><li>Regional anesthesia (injecting numbing drugs around nerves) to control pain in specific parts of your body during or after surgery</li><li>Monitoring your breathing and vital body functions while you''re under anesthesia</li><li>Working with the rest of your care team to manage your pain medications after your operation</li><li>Coordinating care with your other health care professionals to facilitate a smooth transition from hospital to home</li></ul>';VA North Texas health care;VA North Texas health care
Cardiology at VA North Texas health care;Cardiology;'<H3>Care we provide at VA North Texas health care</H3><p>We perform noninvasive and minimally invasive tests and procedures that check, support, and improve your heart health. We''ll work with you to develop a personalized treatment plan and treat you with the most effective medications. Our services include:<p><ul><li>Evaluating you for coronary heart disease, heart-valve disease, and heart defects</li><li>Determining how well blood flows through your heart vessels or find the cause of your heart failure</li><li>Treating your heart vessels with nonsurgical or minimally invasive operations that open and support them through balloon angioplasty or stent placement</li><li>Noninvasively monitoring you for changes in heart rhythm, using electrocardiograms (EKGs or ECGs), portable Holt monitors, or ultrasound</li><li>Performing surgical treatments like pacemaker implants or cardiac catheterization (inserting a long, thin tube into an artery or vein)</li></ul>';VA North Texas health care;VA North Texas health care
Caregiver support at VA North Texas health care;Caregiver support;'<H3>Care we provide at VA North Texas health care</H3><p>If you''re a caregiver for a Veteran, you can get support by contacting one of our caregiver support coordinators. If the Veteran you care for was injured post-9/11, you may be eligible for even more services, including a stipend to help with expenses, training, and medical coverage if you aren''t already covered. For all caregivers, we can:<p><ul><li>Help you get caregiver assistance available through VA</li><li>Provide progressive needs planning to help you manage degenerative conditions</li><li>Match you with services and benefits</li><li>Connect you with local resources and programs</li><li>Listen to you when you struggle</li></ul><p>Learn more and connect with a support coordinator';VA North Texas health care;VA North Texas health care
Dental/oral surgery at VA North Texas health care;Dental/oral surgery;'<H3>Care we provide at VA North Texas health care</H3><p>If you''re eligible for VA dental care, we offer a full range of quality dental services like:<p><ul><li>Routine exams and teeth cleaning</li><li>Restorative procedures, including fillings and crowns</li><li>Comprehensive surgical care, including extractions (pulling teeth) and oral cancer screening</li><li>Routine and advanced prosthodontic care, including bridges, dentures, and dental implants</li><li>Routine and advanced periodontal care, including root canals, gum treatments, and supporting bone care</li><li>Oral and facial reconstruction surgery to repair damage from traumatic injury or serious illness</li></ul>';VA North Texas health care;VA North Texas health care
Gastroenterology at VA North Texas health care;Gastroenterology;<H3>Care we provide at VA North Texas health care</H3><p>We diagnose and treat medical conditions in your esophagus, stomach, intestines, colon, and other parts of your digestive system. We can also test and treat other organs, like your liver, pancreas, and gallbladder. Our gastroenterology department provides services like:<p><ul><li>Colonoscopy, esophagogastroduodenoscopy (EGD), and endoscopic retrograde cholangiopancreatography (ERCP), which use an endoscope (a long, flexible tube with a small camera on the end) that lets us examine your digestive system</li><li>Endoscopic ultrasound, which uses high-frequency sound waves to create images that help us diagnose and evaluate digestive and lung diseases</li><li>Manometry study, which tests how well your esophagus is working</li><li>Small bowel capsule endoscopy, which uses a tiny wireless camera that takes pictures as it moves through your digestive system</li><li>24-hour pH study, which measures how much stomach acid is flowing into your esophagus and helps us assess conditions like severe heartburn and acid reflux</li></ul>;VA North Texas health care;VA North Texas health care
Geriatrics at VA North Texas health care;Geriatrics;<H3>Care we provide at VA North Texas health care</H3><p>We assess your situation and condition to decide which outpatient geriatric services are right for you or a senior Veteran in your care, and then we coordinate your care. Our team of specialists provides geriatric services that include:<p><ul><li>Medicine and nursing</li><li>Psychology, psychiatry, and social work</li><li>Physical and occupational therapy</li></ul><p><a href="https://www.va.gov/GERIATRICS/">Learn more about VA long-term care</a>;VA North Texas health care;VA North Texas health care
