Account Name,Account ID,Parent Account,Parent Account ID,Mail Code,Organization Code,Office Type,Station Number,District VEO,Description,Account Record Type,Type,VA Organization Acronym,Active,Office Inactive,Account Owner,Top Parent Id,City,State,Phone,Fax,Website,MyVA Communities Added,NND,VIEWS Account,In FOM?,FOM Sort Order,Org Chart Needed?,Levels To Display In Hierarchy,Point of Contact,Secondary Point of Contact,FOM Coordinator,FOM Approver,FOM Data Request Due Date,Intranet URL,External URL,Certified Ready for FOM,Sub-Levels Ready For FOM,Ready for FOM By,Ready for FOM Date,Month's Since Validation,Last FOM Data Request Created Date,FOM Review Notification Sent Date,Mission,Overview,Activities,Org Chart Image,VIEWS Queue ID,VIEWS Custom Queue Name,VIEWS Group ID,VIEWS Nested Group ID,Related Contracts' Total Value
VEO-30 Veterans Experience Office,001t0000009wAwr,OSVA-00 Office of the Secretary,001t0000009wAx7,30,30,Administration/Staff Office,,,,VA Organization,,VEO,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Dayna Oliveri,,Crystal White,Jason Thomas,,,,1,1,Crystal White,6/17/2021,-5,8/9/2021,,"The Veterans Experience Office (VEO) supports VA as the Secretary of Veterans Affairs? (SECVA) customer experience (CX) insight engine and a shared service to partner with, support, and enable VA Administrations and Staff Offices to provide the highest quality CX in the delivery of care, benefits and memorial services to Servicemembers, Veterans, their families, caregivers and survivors.","VEO is led by the Chief Veterans Experience Officer, who reports directly to the VA Secretary, and is immediately supported by the Deputy Chief Veterans Experience Officer (Deputy Chief) and Chief of Staff. VEO was created by the SECVA, not legislative authority. This Office, in close coordination with VA?s Administrations and Staff Offices, is creating new capabilities to transform the Department into the most customer-centric agency in the Federal Government.","? Represents the voice and perspective of Veterans, their families, caregivers and survivors in departmental governance
? Sets VA?s CX strategy.
? Integrates and coordinates VA resources across in-person and virtual interactions with Veterans to ensure delivery of excellent health care and benefit experiences.
? Designs, implements and manages a portfolio of Enterprise-level, customer-centric projects that will simplify Veterans? interactions with VA and help them understand and access care and services provided by VA and their local communities.
? Supports VA ?mission owners? ? those leaders responsible for delivering, day-in and day-out VA care services, and products to Veterans ? in meeting their goal for improving CX.
? Oversees VEO?s corporate communications and efforts to strengthen VA?s relationship Service members, Veterans, their families, caregivers and survivors.",,00Gt0000000nghTEAQ,,00Gt0000000HSYAEA4,00Gt0000000nghYEAQ,0
"OM-041E Office of Budget, VBA Budget",001t000000BihPK,OM-041 The Deputy Assistant Secretary for Budget,001t0000009wAv1,041E,4,Organization,,,,VA Organization,,OM,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Jacqueline Culmer,,Jess E Cruz,Francis Myers,,,,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,,The Benefits Programs Service is primarily focused on the Veterans Benefits Administration and both the mandatory and discretionary funding involved in those programs.,"?	Ensures all funds are spent in compliance with laws, guidance, and directives from OMB and Congress, as well as Departmental policies and plans.",,00Gt0000000sZMPEA2,,00Gt0000000s7kNEAQ,,
OM-041D Management Programs and Staff Offices Budgets,001t000000BihOv,OM-041 The Deputy Assistant Secretary for Budget,001t0000009wAv1,041D,4,Organization,,,,VA Organization,,OM,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Jacqueline Culmer,,Jess E Cruz,Francis Myers,,,,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,,The Staff Office Budgets Service coordinates the funding needs of each of the supporting staff offices in VA Central Office.  This service was established following the 2017 modernization initiative that consolidated the budget analysts from the staff offices underneath the Office of Budget to achieve efficiencies.,"?	Performs all core budget duties for the Department?s Staff Offices in the General Administration (Gen Ad) account, including budget formulation, budget justification and budget execution.  Provides budgetary analysis and recommendations to the Staff Offices to ensure effective management of the Gen Ad budget.",,00Gt0000000sYFhEAM,,00Gt0000000HSe0EAG,00Gt0000000s7kIEAQ,0
"OM-041G Office of Budget, OIT Budget",001t000000BihPj,OM-041 The Deputy Assistant Secretary for Budget,001t0000009wAv1,041G,4,Organization,,,,VA Organization,,OM,Yes,0,Salesforce Administrator,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Jacqueline Culmer,,Jess E Cruz,Francis Myers,,,,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,,The Information Technology Service is responsible for the Information Technology appropriation as well as the Electronic Health Record Modernization appropriation.,"?	Ensures all funds are spent in compliance with laws, guidance, and directives from OMB and Congress, as well as Departmental policies and plans.",,00Gt0000000sZMZEA2,,00Gt0000000HSe2EAG,00Gt0000000s7kXEAQ,
"OM-041F Office of Budget, VHA Budget",001t000000BihPe,OM-041 The Deputy Assistant Secretary for Budget,001t0000009wAv1,041F,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Jacqueline Culmer,,Jess E Cruz,Francis Myers,,,,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,,"The Medical Programs Service is primarily focused on the Veterans Health Administration which includes appropriations for Medical Services, Medical Community Care, Medical Support & Compliance, Medical Facilities, and Medical Research.","?	Ensures all funds are spent in compliance with laws, guidance, and directives from OMB and Congress, as well as Departmental policies and plans.",,00Gt0000000sFlOEAU,,00Gt0000000HSe1EAG,00Gt0000000s7kSEAQ,
OM-041C Budget Process and Data Management,001t000000BihOl,OM-041 The Deputy Assistant Secretary for Budget,001t0000009wAv1,041C,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Jacqueline Culmer,,Jess E Cruz,Francis Myers,,,,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,,The Budget Process & Data Management Service develops and coordinates the processes and systems to ensure efficient and timely budget submissions and execution.,"?	Manages all aspects of VA?s annual budget request to OMB to defend and promote the Department?s program plans and budget estimates, and negotiates/appeals the OMB Passback decisions.
?	In coordination with Administrations and Staff Offices, develops Congressional Justifications Budget and the data for the President's Budget Appendix.",,00Gt0000000sFlYEAU,,00Gt0000000HSe3EAG,00Gt0000000s7k9EAA,0
OM-041 The Deputy Assistant Secretary for Budget,001t0000009wAv1,OM-004 Office of Management,001t0000009wAuf,41,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Jacqueline Culmer,,Jess E Cruz,Francis Myers,,http://vaww.va.gov/budget,No data,1,1,Janet Schiller,7/27/2021,-6,7/28/2021,,,"The Office of Budget supports the Department in service to Veterans by managing the strategic and policy decision making processes in the formulation, execution, analysis, justification, and preparation of the Department's  budget. The office serves as the primary liaison with the Office of Management and Budget (OMB) and Congressional appropriations committees to defend and promote the Department's  program plans and budget estimates. The office also coordinates closely with program officials to ensure budget requests are technically accurate, performance-based, and focused on improving the Veteran experience.","The Office of Budget manages and directs all budget formulation and execution activities for the Department. ? Ensures all funds are spent in compliance with laws, guidance, and directives from OMB and Congress, as well as Departmental policies and plans. ? Leads budget execution review processes and keeps VA leadership informed of key issues and trends. ? Issues guidance to VA Administrations and Staff Offices to prepare, review, and analyze their internal budgets/operating plans, and develop analyses, options, and recommendations for budget decision-making. ? Manages all aspects of VA's annual budget request to OMB to defend and promote the Department's program plans and budget estimates, and negotiates/appeals the OMB Passback decisions. ? In coordination with Administrations and Staff Offices, develops Congressional Justifications Budget and the data for the President's Budget Appendix. ? Manages monthly CFO budget execution reviews. ? Represents VA in budget deliberations with OMB and Congressional appropriations committees. ? Develops testimony, briefing books, and materials for Department leadership?s budget presentations to Congress, VSOs, and the media. ? Manages Questions for the Record, Congressional Tracking Reports, and other inquiries from the House and Senate Appropriations Committees.",,00Gt0000000s3KUEAY,,00Gt0000000HSZ0EAO,00Gt0000000s3GXEAY,0
"OM-041 Office of Programming, Analysis and Evaluation",001t0000009wAuq,OM-041 The Deputy Assistant Secretary for Budget,001t0000009wAv1,49,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Jacqueline Culmer,,Jess E Cruz,Francis Myers,,No data,No data,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,,"The Programming, Analysis and Evaluation (PAE) Service?s mission is to improve service to our Veterans by enabling the VA to make evidence-based resource and program decisions to promote programming excellence.  PAE is VA?s independent, analytical voice for supporting improved cost estimation, alignment of resources, and decision-making to achieve the Department?s strategic goals and objectives.","?	Leads the Department?s multi-year programming process, providing the enterprise-view necessary for VA leadership to make well informed, long term resource allocation decisions.",,00Gt0000000ne01EAA,,00Gt0000000HSYjEAO,00Gt0000000ne3UEAQ,0
OM-049 Office of Revolving Funds,001t000000ONxLY,OM-004 Office of Management,001t0000009wAuf,49,4,Organization,,,,VA Organization,,OM,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,dwight Mojay,,Jess E Cruz,Jerald Jordan,,,,1,1,Janet Schiller,7/27/2021,-6,7/28/2021,,"ORF program mission is to provide best in class shared services and financial support through strategic planning of VA Revolving Funds, including the Supply Fund and Franchise Fund; to execute outstanding financial support capabilities; produce sound business plans for service lines; and offer cost-effective solutions for our stakeholders through shared services while maintaining clean audit results.","The Office of Revolving Funds (ORF) enables VA to provide a full range of benefits and services to our nation?s Veterans by providing strategic and financial oversight of both Revolving Funds ? Supply Fund and Franchise Fund along with improvements for the management, accountability and transparency of Staff Offices? reimbursements. Through stewardship and oversight of business activities in both Funds and General Administration agreements, ORF promotes public confidence while meeting fiduciary requirements consistent with national policy, law and regulation.","Functions and Activities
The Office of Revolving Funds supports the Department by providing guidance in budget formulation and execution of each Acquisition and Enterprise Center through sound Business Plans. Governed by the Revolving Funds Board of Directors, ORF is divided into four services: Supply Fund Oversight, Supply Fund Fiscal Operations, Franchise Fund Oversight and Reimbursements, that collaborate with five Acquisition Centers, eight Enterprise Centers, and General Administration Staff Offices performing the following functions throughout the year:
?	Conducts quarterly Revolving Funds Board of Directors meetings and provides oversight and funds execution metrics to the Board.
?	Provides a full range of accounting operations support and oversight of each Acquisition and Enterprise Center.
?	Delivers enterprise wide performance feedback and transparent financial performance metrics to ensure reliability of financial information and accountability.
?	Increases rate setting transparency, accuracy and reliability of financial information.
?	Facilitates annual financial statement audits by an independent Certified Public Accountant firm of each fund.
?	Collaborates with both sellers & buyers to rapidly fund critical services, while equitably allocating expenses.",image.png,00Gt0000001CPV6EAO,,00Gt0000001COcREAW,00Gt0000001COcSEAW,0
OM-049F Franchise Fund Oversight,001t0000009wAtP,OM-049 Office of Revolving Funds,001t000000ONxLY,049F,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,dwight Mojay,,Jess E Cruz,Jerald Jordan,,,,1,1,Janet Schiller,7/23/2021,-6,8/24/2021,,"The mission of the VA Franchise Fund is to be the provider of choice of common administrative support services for VA and OGA customers, enabling them to best meet their primary missions.","The VA Franchise Fund was established under the authority of the Government Management Reform Act of 1994 and the VA and Housing and Urban Development and Independent Agencies Appropriations Act of 1997.  VA was selected by the Office of Management and Budget (OMB) in 1996 as one of six Executive branch agencies to establish a franchise fund pilot program.  Created as a revolving fund, the VA Franchise Fund began providing common administrative support services to VA and OGAs in 1997 on a fee-for-service basis.  In 2006, under the Military Quality of Life and Veterans Affairs Appropriations Act, P.L. 109-114, permanent status was conferred upon the VA Franchise Fund.

The VA Franchise Fund is comprised of an administrative office (Franchise Fund Fiscal Office) and eight self-supporting lines of business (Enterprise Centers).  The current VA Enterprise Centers (EC) include the following:
?	The Financial segment (under the oversight of the Office of Management)
          o	FSC in Austin, TX
          o	Debt Management Center (DMC) in St.  Paul, MN
          o	Internal Controls Support Center (ICSC) in Austin, TX
?	Personnel, Security and Law Enforcement segment (under the oversight of the Human Resources Administration/Office of Operations, Security and Preparedness)
          o	VA Personnel Security Adjudication Center (PSAC), North Little Rock, AR
          o	Law Enforcement Training Center (LETC), North Little Rock, AR
          o	Human Capital Services Center (HCSC) in Washington, DC
          o	Center for Enterprise Human Resources Information Services (CEHRIS) in Washington, DC
?	Information Technology segment
          o	IT Infrastructure Operations (ITIO) Center in Austin, TX (under the oversight of the Office of Information Technology).

The directors of the individual ECs and their staffs are responsible for customer satisfaction, support to the VA lines of business, business planning and development, staffing, and execution of day-to-day business activities consistent with their annual business plans.  The VA Franchise Fund Fiscal Office is accountable for enterprise best practices, standard business plan development, fiduciary audits, and financial stability of the VA Franchise Fund in accordance with statutes, regulations and policies.","Functions and Activities

?	Provides policy, process, guidance and direction to the eight ECs and any future ECs for delivering exceptional customer service, high quality, reliable and consistent mission support services at lower costs.
?	Provides administrative support to the ECs by directing and analyzing budget formulation and execution processes. Administers financial resources and oversee business planning activities.
?	Draft and implement new policies for the VA Franchise Fund aligned with the OMB policy memorandums and Unified Shared Service Management (USSM) emerging policies and processes. Accountable to deliver enterprise-wide performance dashboard and transparent performance metrics for enterprise mission support services performed by VA Enterprise Centers.
?	In coordination with the Office of Management (OM) and the Office of Finance (OF), ensures clean audit results for the VA Franchise Fund. Takes appropriate actions related to all Office of Inspector General (OIG) and General Accountability Office (GAO) findings on the VA Franchise Fund to ensure compliance with fiduciary requirements and Federal Government best practices.",,00Gt0000000s3KiEAI,,00Gt0000000HSZKEA4,00Gt0000000s3GlEAI,
OM-049S2 Supply Fund Fiscal Operations Office,001t000000dzRXp,OM-049 Office of Revolving Funds,001t000000ONxLY,049S2,4,Organization,,,,VA Organization,,OM,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,dwight Mojay,,Jess E Cruz,Jerald Jordan,,,,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,,The Supply Fund Fiscal Operations (SFFO) was restructured as a separate office within the Supply Fund in September 2020 to focus on the daily accounting operational activities in support of the Acquisition Centers. Their primary goals are to maintain excellence in delivering financial management support to its stakeholders.,"Functions and Activities
?	Performs a full range of accounting functions, including recording obligations and processing payments, maintaining financial records of the Supply Fund, performing financial analyses.
?	Supports operation of the Department Supply System to include policy, operations, legal support, for all Supply Fund entities.
?	Provides audit support for the annual fund and department financial audits, monitor and assist with payroll financial transactions and work with program offices to develop and monitor budget plans.",,,,00Gt0000002KJdsEAG,00Gt0000002KJdtEAG,0
OM-049S1 Supply Fund Oversight Office,001t000000dzRX1,OM-049 Office of Revolving Funds,001t000000ONxLY,049S1,4,Organization,,,,VA Organization,,OM,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,dwight Mojay,,Jess E Cruz,Jerald Jordan,,,,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,,"Created by Congress in July 1953, the Department of Veterans Affairs (VA) Supply Fund  supports VA's mission by operation and maintenance of a Supply System, including procurement of supplies, equipment, personal services and the repair and reclamation of used, spent, or excess personal property. The Supply Fund is authorized to provide services on a reimbursable basis to VA and to Other Government Agencies (OGA).

The Supply Fund Oversight Office formulates and executes the budget along with providing financial support to nine lines of business: the Office of Acquisition and Logistics (OAL), Office of Procurement, Acquisition, and Logistics (OPAL), Office of Small and Disadvantaged Business Utilization (OSDBU), National Acquisition Center (NAC), Denver Acquisition and Logistics Center (DLC), Technology Acquisition Center (TAC), Service and Distribution Center (SDC), VA Acquisition Academy (VAAA) and  Strategic Acquisition Center (SAC).","Functions and Activities
?	Provides administrative support to the Supply Fund entities by directing and analyzing budget formulation and execution processes. Administers financial resources and oversee business planning activities.
?	Recovers its operating expenses through surcharges on various products or services provided to Veterans and OGAs.
?	Provides facilitation and oversight of the One VA Plus Program.  VA organizations can use the One VA Plus Program to extend obligation authority of appropriated funds for short periods of time to support bona fide program needs.
?	Recovers duplicate payments to vendors and unused credits from vendors in partnership with the Financial Services Center (FSC).
?	Manages the annual Supply Fund financial audit process conducted by a private sector accounting firm.",,,,00Gt0000002KJdnEAG,00Gt0000002KJdoEAG,0
OM-049R Reimbursement Office,001t000000dzRWD,OM-049 Office of Revolving Funds,001t000000ONxLY,049R,4,Organization,,,,VA Organization,,OM,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,dwight Mojay,,Jess E Cruz,Jerald Jordan,,,,1,0,Janet Schiller,7/27/2021,-6,8/24/2021,,,"In October 2020, the Reimbursement Office was realigned internally from the Office of Management, Office of Budget to the Office Revolving Funds. The Reimbursement Office works directly with the buyers and sellers at the Department level in the development of Intra-Agency Agreements. Utilizing a Reimbursement Cost Matrix, the staff develops various budget submissions to Congress along with maintaining an agency-wide notification process; and establishing a timeline to develop, issue, execute and receive agreements.","Functions and Activities
?	Oversees and manages the life cycle of agreements for General Administration fund requirements as the seller.
?	Streamlines recordkeeping by instituting and processing agreements through an in-house SharePoint site.
?	Analyzes agreements for its purpose, validity, fair cost distribution and execution of funds.
?	Monitors, evaluates, and reports on reimbursable activity to enable leaders to make data-driven decisions, strengthen accountability, and facilitate a culture of customer-service.
?	Provides oversight to ensure timely return of unearned funds and timely issuance of agreements for accurate administrative processing between trading partners activities
?	Coordinates with program officials to ensure reimbursable budget requests are technically accurate, performance-based, and focused on improving the Veteran experience.
?	Accounts for the processing of earned costs for services performed across the Department of Veterans Affairs, FSC and trading partners.",,,,00Gt0000002KJdiEAG,00Gt0000002KJdjEAG,
OM-044A Capital Operation and Program Service,001t0000009wAuw,OM-044 Office of Asset Enterprise Management,001t0000009wAug,044A,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Amy Marie P Gonnella,,Jess E Cruz,Theresa Upshaw,,No data,No data,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,"Manage enterprise-wide VA real property, fleet, and facility assets to maximize reliability, sustainability, efficiency, and effectiveness to fulfill Lincoln?s promise to our most valuable resource, our Veterans.","The Capital Operations and Program Service (COPS) provides  day-to-day administrative operations and functions needed to support the Office of Asset Enterprise Management (OAEM). COPS is responsible for monitoring and tracking all human resource, correspondence, and other administrative operations for OAEM.   COPS provides logistical support for training, travel, and conference type activity planning and execution.","? Manages and tracks correspondence actions.
? Responsible for space management.
? Assists with budget management.
? Manages human resource support activities.
? Manages payroll processing.
? Oversees training and travel programs.
? Manages emergency preparedness.
? Manages office supplies, inventory and maintenance.",,00Gt0000000s3KQEAY,,00Gt0000000HSYwEAO,00Gt0000000s3GTEAY,0
"OM-044B Capital Asset Policy, Planning and Strategy Service",001t0000009wAuv,OM-044 Office of Asset Enterprise Management,001t0000009wAug,044B,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Amy Marie P Gonnella,,Jess E Cruz,Theresa Upshaw,,,,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,"Manage enterprise-wide VA real property, fleet, and facility assets to maximize reliability, sustainability, efficiency, and effectiveness to fulfill Lincoln?s promise to our most valuable resource, our Veterans.","The Capital Asset Policy, Planning and Strategy Service (CAPPSS) enables Office of Asset Enterprise Management (OAEM) to serve as the principal policy office and business advisor regarding capital investment selection and execution via the Strategic Capital Investment Planning (SCIP) process. CAPPSS coordinates the Department?s capital asset policies and investment process. CAPPSS supports VA?s comprehensive planning process for capital programs (major construction, minor construction, non-recurring maintenance (NRM), and leases) across the Department and produces a data-driven, merit based long-range plan to support VA?s annual capital budget request to Office of Management and Budget (OMB) and Congress.","? Manages the Department?s SCIP Process.
? SCIP process allows VA to develop an integrated and prioritized list of projects annually.
? Produces the VA Long-Range Capital Investment Plan.
? Prepares VA?s annual Capital Program Budget Submission.
? Develops legislative analysis pertaining to capital programs and investments.
? Manages VA/DoD coordination on capital planning issues.
? Reviews and assists in the development of VA Administration and Staff Office Operating Plans.
? Produces Budget Execution Reports (Operating Plans and Actual Obligations).
? Oversee the Capital Program Requirements Management Process (CPRMP) - a project change control process to ensure changes in scope (cost, space, and programs) receive appropriate approval from VA leadership
? Manages planning, programming, and budgeting of Transformational Fund real property requirements.",,00Gt0000000s3KPEAY,,00Gt0000000HSYvEAO,00Gt0000000s3GSEAY,0
"OM-044E Energy, Environment and Fleet Program Service",001t0000009wAuj,OM-044 Office of Asset Enterprise Management,001t0000009wAug,044E,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Amy Marie P Gonnella,,Jess E Cruz,Theresa Upshaw,,http://vaww.green.va.gov/index.asp,http://www.green.va.gov/,1,1,Janet Schiller,7/27/2021,-6,7/28/2021,,"Manage enterprise-wide VA real property, fleet, and facility assets to maximize reliability, sustainability, efficiency, and effectiveness to fulfill Lincoln?s promise to our most valuable resource, our Veterans.","The Energy, Environment and Fleet Program Service (EEFS) leads VA's efforts to comply with Federal mandates related to energy, water, environment, fleet, sustainable buildings and climate change adaptation. EEFS formulates VA-level policy, provides oversight, guidance, and training, completes required agency reporting, and coordinates enterprise-level operations of VA's energy and fleet portfolio, including managing VA?s Energy Performance Contracting Program and VA?s Fleet Management Program.","?	Provides policy, training, direction, and guidance for VA?s sustainability efforts including energy, water, environmental, fleet, sustainable buildings, and climate change adaptation programs.
?	Oversees the energy and water, vehicle fleet, and sustainable buildings programs to include management of VA?s Energy Performance Contracting Program, facilitation of fleet electrification planning, and compliance with sustainable buildings requirements.
?	Supports the administration of VA?s Climate Change Task Force including coordinating development of VA?s Climate Action Plan and other VA climate change adaptation activities.
?	Performs technical document reviews for environmental management in areas including green purchasing, chemicals management and pollution prevention, environmental compliance, waste prevention and recycling, environmental management systems, electronics stewardship, the National Environmental Policy Act, and environmental justice; and helps develop regulations in collaboration with other VA organizations and federal agencies.
?	Compiles data and generates agency-level reporting including VA?s annual energy report, VA?s annual Sustainability Plan, VA?s Office of Management and Budget Scorecard for Efficient Federal Operations and Management, the General Service Administration?s Federal Automotive Statistical Tool (FAST) reporting for fleet, VA?s annual Environmental Collaboration and Conflict Resolution report, and Environmental Justice reports.",,00Gt0000000ndzuEAA,,00Gt0000000HSYhEAO,00Gt0000000ne3NEAQ,0
OM-044D Capital Asset Management Service,001t0000009wAui,OM-044 Office of Asset Enterprise Management,001t0000009wAug,044D,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Amy Marie P Gonnella,,Jess E Cruz,Theresa Upshaw,,http://vaww.va.gov/oaem/CAMS_Page/CAMS.htm,http://www.va.gov/oaem/about/cams.asp,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,"Manage enterprise-wide VA real property, fleet, and facility assets to maximize reliability, sustainability, efficiency, and effectiveness to fulfill Lincoln?s promise to our most valuable resource, our Veterans.","The Capital Asset Management Service (CAMS) manages VA?s portfolio of capital assets, including performance monitoring of the portfolio, disposal and reuse planning, real property data management, and on-going analysis of the portfolio. CAMS is also responsible office for delegation and tracking of VA?s real property leases. In support of these responsibilities, CAMS oversees implementation, maintenance and enhancements for information technology systems used to manage VA?s real property portfolio through the full asset life-cycle, as well as multiple SharePoint sites. The systems managed by CAMS facilitate the management and oversight of underutilized and vacant properties and support the production of multi-year disposal and reuse plans.","? Provides oversight, management, and analysis of VA?s real property portfolio
? Oversees VA?s real property disposal process, including planning, reuse, repurpose, and other reporting.
? Implements Federal Real Property Council (FRPC) reporting requirements and performance tracking associated with VA?s real property portfolio, including required annual reporting for the Federal Real Property Profile system.
? Manages the assignment of Accounting Classification Codes for leases and agreements.
? Performs analysis of the Department?s portfolio for capital planning purposes, including space analysis and condition analysis, among other factors.
? Represents the Department on various Federal real property groups, such as the Federal Real Property Council and associated working groups, and acts as VA?s real property liaison with OMB, General Services Administration (GSA), and Government Accounting Office (GAO).
? Manages the GSA delegation process for lease procurements, and lease status tracking at the portfolio level.
? Provides systems support for VA?s Capital Asset Management System, Capital Asset Inventory (CAI) System, SCIP Automation Tool (SAT), SCIP SharePoint sites, Enterprise Lease Management Tool, and OAEM SharePoint sites.
? Serves as liaison for real property matters regarding VA?s replacement financial system.",,00Gt0000000ndztEAA,,00Gt0000000HSYgEAO,00Gt0000000ne3MEAQ,0
OM-044C Investment and Enterprise Development Service,001t0000009wAuh,OM-044 Office of Asset Enterprise Management,001t0000009wAug,044C,4,Organization,,,,VA Organization,,OM,Yes,0,Integration User,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,Amy Marie P Gonnella,,Jess E Cruz,Theresa Upshaw,,http://vaww.va.gov/oaem/EnhancedUse/EU.htm,http://www.va.gov/assetmanagement/,1,0,Janet Schiller,7/27/2021,-6,7/28/2021,,"Manage enterprise-wide VA real property, fleet, and facility assets to maximize reliability, sustainability, efficiency, and effectiveness to fulfill Lincoln?s promise to our most valuable resource, our Veterans.","The Investment and Enterprise Development Service (IEDS) is responsible for the management and execution of VA?s Enhanced Use Lease (EUL) Program. An EUL is a long-term agreement between VA (as lessor) and a non-Federal entity (as lessee) to repurpose underutilized land and/or buildings to offer an enhanced range of services to Veterans. VA?s current EUL authority is focused on providing supportive housing for Veterans and their families who are homeless or at risk of homelessness. IEDS conducts the initial due diligence for these prospects/projects and negotiates the terms of the transaction with the selected project developer/lessee. The selected developer/lessee is responsible for all aspects of development, including finance, design, construction and operation of permanent supportive housing for eligible homeless Veterans.","? Establish agency policies and procedures for the EUL Program .
? Executes the EUL Program.
? Addresses issues associated with project planning, development, lease negotiations, and pre-construction activities.
? Monitors EUL project construction and operational EUL projects.
? Manages EUL amendments, terminations, VA capital contributions and related actions.
? Continuously reviews VA?s portfolios for underutilized land and/or buildings that could be repurposed to help provide housing for homeless and at-risk Veterans and their families.",,00Gt0000000ndzsEAA,,00Gt0000000HSYfEAO,00Gt0000000ne3LEAQ,0
VHA-17QM4 Center for Improvement Coordination,001t000000X0Cgv,VHA-17QM Office of Quality Management,001t000000V02yL,17QM4,10,Organization,,,,VA Organization,,VHA,Yes,0,Janet Schiller,001t0000003bSjB,,,,,,0,No,1,Yes,,0,,,,Amy Nelson,Yemi Arunsi,,,,0,0,,,13,6/15/2021,,,"The Center for Improvement Coordination (CIC) (17QM4) partners collaboratively with VHA Senior Leaders, VHA Program Offices, VISN Leadership teams, and VA Medical Centers (VAMC) on quality improvement initiatives. Through both face-to-face and virtual support, CIC?s multidisciplinary teams engage collaboratively with VISN and VAMC leadership and teams to strengthen quality and patient safety. CIC?s goal is to promote high-quality care informed by data and strengthened by supportive leadership who embrace change management processes.","?	Engages with VISNs, facilities, and VHA Program Office Partners to support effective use of analytics, quality improvement and learning to strengthen care delivery for Veterans.
?	Strategizes and customizes engagements based on need, and partners with VHA Program Offices to coordinate enterprise expertise for the support of the VISN and VAMCs.
?	Collaborates to prioritize quality improvement initiatives that are data driven and support facilities along their improvement journey.
?	Co-leads the VHA National Organization for Leadership and Analytics University (NOLA U), which converges VHA spread strong practices, innovation, and learning for VISN and VAMC customers.
?	Translates complex VHA data into meaningful information in support of enterprise wide operations, learning, and for both internal and external stakeholder consumption; connect the dots between data and operations to support building analytic capacity and understanding across VHA.",,00Gt0000001I65TEAS,,00Gt0000001I2gTEAS,00Gt0000001I2gUEAS,
